,Country,EdLevel,YearsCodePro,ConvertedCompYearly
809,United States of America,Post-grad,2,83000
810,Russia,Bachelors,5,84924
811,France,Bachelors,6,56211
812,Other,Post-grad,7,31128
813,Israel,Bachelors,2,82308
814,Norway,No bachelors,7,118685
815,Other,Bachelors,9,39201
816,India,Bachelors,10,62828
817,Other,Bachelors,10,31128
818,Spain,Bachelors,6,28536
819,United States of America,Post-grad,6,125000
820,United States of America,Bachelors,16,130000
821,Israel,No bachelors,15,164604
822,United States of America,Bachelors,14,165000
823,United Kingdom,No bachelors,15,81433
824,Russia,No bachelors,15,43404
825,Germany,Bachelors,4,165000
826,Brazil,No bachelors,4,17868
827,United States of America,No bachelors,28,180000
828,Poland,No bachelors,7,36450
829,Germany,No bachelors,3,31908
830,United States of America,No bachelors,4,65000
831,France,No bachelors,2,54049
832,Germany,No bachelors,7,75669
833,Other,No bachelors,11,23856
834,Other,No bachelors,13,77831
835,United States of America,No bachelors,5,150000
836,France,Bachelors,2,36753
837,Other,Bachelors,7,75240
838,Other,Bachelors,2,13092
839,United States of America,No bachelors,2,170000
840,Israel,Bachelors,4,112068
841,India,No bachelors,13,38532
842,Other,Bachelors,2,39347
843,Other,Post-grad,26,91883
844,India,Bachelors,11,41880
845,India,Bachelors,6,16754
846,Other,Bachelors,5,27072
847,Other,Bachelors,2,11544
848,Poland,No bachelors,4,47076
849,Other,No bachelors,5,35280
850,France,No bachelors,21,64859
851,France,Post-grad,15,81074
852,France,No bachelors,3,48644
853,Turkey,No bachelors,5,19728
854,United States of America,No bachelors,8,90000
855,Italy,Bachelors,13,129718
856,Other,No bachelors,7,56832
857,Germany,No bachelors,9,94045
858,Italy,Post-grad,10,45401
859,United States of America,Bachelors,4,91350
860,Other,No bachelors,3,14676
861,Other,No bachelors,3,25656
862,India,Bachelors,5,10052
863,United Kingdom,No bachelors,12,52116
864,India,No bachelors,8,27923
865,Germany,Bachelors,0.5,56211
866,Other,No bachelors,9,39900
867,France,No bachelors,12,76750
868,United Kingdom,Bachelors,5,39553
869,United States of America,No bachelors,3,130000
870,Canada,No bachelors,46,98321
871,United Kingdom,No bachelors,5,38778
872,France,No bachelors,7,54049
873,United States of America,No bachelors,13,80000
874,United States of America,No bachelors,6,89000
875,United States of America,Bachelors,15,95000
876,United States of America,Bachelors,24,177000
877,Other,No bachelors,2,54049
878,Italy,No bachelors,2,18156
879,France,No bachelors,6,54049
880,Other,Post-grad,33,100728
881,Canada,No bachelors,21,60505
882,United States of America,Bachelors,20,100000
883,Canada,No bachelors,8,60505
884,United States of America,Bachelors,2,55000
885,Other,Bachelors,6,68102
886,France,No bachelors,0.5,41508
887,Other,No bachelors,8,52380
888,United States of America,Bachelors,13,156000
889,Germany,No bachelors,23,72636
890,United Kingdom,Bachelors,9,77556
891,Netherlands,Bachelors,5,59454
892,Canada,No bachelors,1,51429
893,United States of America,No bachelors,3,90000
894,France,No bachelors,6,43239
895,United States of America,Bachelors,12,135000
896,Canada,Bachelors,13,52942
897,United Kingdom,Post-grad,4,116333
898,United States of America,Post-grad,8,130000
899,United States of America,Bachelors,20,194620
900,United Kingdom,Bachelors,20,142185
901,Russia,Post-grad,22,51900
902,France,Bachelors,15,45401
903,Germany,Bachelors,7,97504
904,Germany,No bachelors,5,63778
905,Other,No bachelors,9,43200
906,United Kingdom,No bachelors,5,142185
907,United Kingdom,No bachelors,6,64630
908,Switzerland,No bachelors,15,152473
909,Germany,No bachelors,12,49725
910,United Kingdom,Bachelors,7,60141
911,France,No bachelors,5,54049
912,Poland,No bachelors,4,25824
913,Germany,Bachelors,7,70264
914,Spain,Bachelors,16,43239
915,Canada,Bachelors,6,58236
916,Turkey,No bachelors,0.5,49308
917,Israel,Bachelors,2,101568
918,Other,No bachelors,7,69285
919,Spain,No bachelors,4,25944
920,United States of America,No bachelors,25,129000
921,United States of America,Bachelors,6,75000
922,United States of America,Bachelors,35,115000
923,Other,Bachelors,5,28576
924,France,No bachelors,20,57072
925,United Kingdom,Bachelors,0.5,38778
926,United Kingdom,Post-grad,7,161574
927,United Kingdom,Bachelors,6,43948
928,United States of America,Bachelors,9,105000
929,United States of America,No bachelors,20,130000
930,Germany,No bachelors,6,39564
931,Russia,Bachelors,2,21516
932,United States of America,Bachelors,3,66000
933,United States of America,No bachelors,8,54000
934,Canada,Bachelors,11,74497
935,United Kingdom,Bachelors,7,60752
936,India,Bachelors,16,27923
937,Spain,Bachelors,9,61616
938,France,No bachelors,22,86478
939,Australia,Post-grad,7,76831
940,Other,Bachelors,3,13224
941,Germany,No bachelors,3,43239
942,Israel,Bachelors,9,122580
943,Canada,Bachelors,5,58236
944,India,Bachelors,3,12564
945,Other,Bachelors,2,23304
946,Canada,Bachelors,3,64287
947,United Kingdom,Bachelors,7,127967
948,United Kingdom,Bachelors,7,69800
949,United States of America,Bachelors,3,120000
950,Canada,No bachelors,16,69581
951,United States of America,No bachelors,11,135000
952,Other,No bachelors,12,140000
953,United Kingdom,Bachelors,17,125382
954,Germany,Bachelors,3,67452
955,United States of America,No bachelors,20,165000
956,Other,No bachelors,3,25944
957,Canada,No bachelors,20,77900
958,India,No bachelors,8,16754
959,United Kingdom,Bachelors,4,77556
960,United States of America,No bachelors,9,130000
961,United States of America,Bachelors,20,70000
962,United States of America,Bachelors,2,65000
963,Other,Bachelors,4,27336
964,Spain,Post-grad,7,28105
965,Canada,Bachelors,16,121010
966,Brazil,Bachelors,8,41232
967,France,No bachelors,20,64859
968,Germany,Bachelors,7,77831
969,United States of America,Bachelors,16,244000
970,United States of America,Bachelors,4,60000
971,United Kingdom,No bachelors,5,49119
972,India,Bachelors,5,11169
973,United States of America,Bachelors,0.5,73000
974,Other,No bachelors,15,30144
975,United Kingdom,No bachelors,16,58167
976,Canada,No bachelors,2,45379
977,Germany,No bachelors,11,108098
978,United States of America,No bachelors,9,86000
979,United Kingdom,Bachelors,17,93067
980,United States of America,Bachelors,15,165000
981,United States of America,No bachelors,13,53000
982,Russia,No bachelors,6,24540
983,Other,No bachelors,10,15053
984,India,Bachelors,14,83770
985,Brazil,Bachelors,4,27492
986,India,Bachelors,3,10792
987,India,No bachelors,19,60300
988,Brazil,No bachelors,4,27492
989,United States of America,Bachelors,7,100000
990,Switzerland,Bachelors,4,109781
991,Spain,No bachelors,2,25944
992,Other,Bachelors,3,30792
993,United States of America,Bachelors,32,165000
994,United States of America,No bachelors,10,140000
995,Switzerland,Bachelors,32,96566
996,Brazil,No bachelors,5,13973
997,India,Bachelors,8,38129
998,United States of America,Bachelors,1,60000
999,Other,Bachelors,29,64860
1000,Canada,Post-grad,14,83194
1001,Germany,No bachelors,25,77544
1002,United States of America,No bachelors,23,110000
1003,United States of America,Bachelors,12,180000
1004,India,No bachelors,2,12566
1005,Canada,Bachelors,6,56723
1006,United States of America,Bachelors,5,24000
1007,United Kingdom,No bachelors,12,116301
1008,United Kingdom,Bachelors,10,129250
1009,United States of America,No bachelors,0.5,56400
1010,Brazil,Bachelors,20,62994
1011,Germany,No bachelors,0.5,51887
1012,United States of America,Bachelors,5,50000
1013,United States of America,Bachelors,2,145000
1014,Netherlands,Bachelors,36,64859
1015,Sweden,No bachelors,20,55224
1016,Other,No bachelors,10,26340
1017,United States of America,No bachelors,6,141000
1018,Other,No bachelors,3,12144
1019,Other,No bachelors,2,23088
1020,Other,No bachelors,13,40000
1021,United States of America,Bachelors,7,102974
1022,Germany,No bachelors,6,70044
1023,Germany,No bachelors,4,73511
1024,Netherlands,No bachelors,4,29832
1025,France,No bachelors,4,48644
1026,Netherlands,No bachelors,4,37834
1027,France,No bachelors,2,48644
1028,Russia,Bachelors,6,16980
1029,Italy,No bachelors,30,54049
1030,United States of America,Bachelors,35,175000
1031,United States of America,Bachelors,23,171000
1032,United States of America,Post-grad,1,64000
1033,Other,Bachelors,4,12000
1034,United Kingdom,Bachelors,14,104700
1035,Germany,No bachelors,6,25944
1036,Other,No bachelors,27,86478
1037,Canada,Bachelors,13,73362
1038,United Kingdom,Bachelors,7,90482
1039,Russia,No bachelors,10,35550
1040,Other,Bachelors,8,23076
1041,United States of America,No bachelors,6,200000
1042,Germany,Bachelors,13,70264
1043,Other,No bachelors,4,48456
1044,Other,Bachelors,10,122350
1045,United States of America,Bachelors,10,200000
1046,Other,Bachelors,14,64859
1047,India,Bachelors,5,28622
1048,United Kingdom,Bachelors,8,48472
1049,Other,No bachelors,15,32424
1050,United States of America,Bachelors,3,122000
1051,India,Bachelors,3,25131
1052,United States of America,Bachelors,15,89000
1053,United States of America,Bachelors,10,220000
1054,Italy,Post-grad,3,21408
1055,United States of America,Bachelors,13,170000
1056,United Kingdom,Bachelors,12,77556
1057,United States of America,No bachelors,5,125000
1058,United Kingdom,No bachelors,24,64630
1059,France,No bachelors,33,54049
1060,United Kingdom,Bachelors,15,93067
1061,Other,Bachelors,12,70264
1062,United States of America,No bachelors,14,145000
1063,India,Bachelors,5,16752
1064,Netherlands,No bachelors,3,40212
1065,India,No bachelors,9,17033
1066,Germany,No bachelors,5,51888
1067,Canada,Bachelors,15,75631
1068,United States of America,Post-grad,3,240000
1069,Other,Bachelors,10,16284
1070,United Kingdom,Post-grad,25,77556
1071,Other,Bachelors,16,28500
1072,India,Bachelors,7,11724
1073,Canada,Bachelors,9,83951
1074,Poland,No bachelors,20,57708
1075,United States of America,Bachelors,7,60000
1076,United States of America,Post-grad,25,76000
1077,Other,No bachelors,22,64859
1078,United Kingdom,No bachelors,3,22620
1079,United States of America,Post-grad,7,196950
1080,United States of America,Bachelors,2,69000
1081,Other,Bachelors,5,19176
1082,Other,No bachelors,2,10368
1083,Other,No bachelors,9,63778
1084,United Kingdom,No bachelors,40,68507
1085,India,No bachelors,10,17452
1086,Other,Bachelors,6,67561
1087,Other,Bachelors,10,54276
1088,United Kingdom,No bachelors,10,124089
1089,India,Bachelors,0.5,25131
1090,United Kingdom,No bachelors,14,168037
1091,Germany,No bachelors,3,38448
1092,United States of America,Bachelors,5,106000
1093,Germany,No bachelors,1,32429
1094,Other,No bachelors,6,79896
1095,United Kingdom,Bachelors,3,41363
1096,United States of America,Bachelors,1,18000
1097,Spain,No bachelors,5,19452
1098,United Kingdom,Bachelors,3,41363
1099,Germany,No bachelors,7,86478
1100,United States of America,Bachelors,10,50000
1101,United States of America,Bachelors,3,80000
1102,United States of America,Bachelors,1,65000
1103,Netherlands,No bachelors,3,38916
1104,Russia,Post-grad,14,37752
1105,Germany,No bachelors,9,92964
1106,Russia,No bachelors,9,35856
1107,Germany,No bachelors,10,91883
1108,Poland,No bachelors,8,45564
1109,France,No bachelors,4,45401
1110,United Kingdom,Post-grad,9,94359
1111,Canada,Bachelors,9,79413
1112,Other,No bachelors,6,78156
1113,India,No bachelors,7,15084
1114,France,No bachelors,4,39996
1115,Other,Bachelors,2,17937
1116,United States of America,No bachelors,6,33000
1117,United Kingdom,No bachelors,3,27144
1118,Other,Bachelors,2,42804
1119,Other,Bachelors,2,13010
1120,United States of America,Bachelors,10,120000
1121,Other,Post-grad,9,32424
1122,United States of America,Bachelors,7,162000
1123,India,Bachelors,3,16754
1124,United States of America,No bachelors,15,81807
1125,Other,No bachelors,2,25944
1126,Turkey,Bachelors,8,69036
1127,Other,No bachelors,15,20760
1128,Canada,No bachelors,11,60505
1129,Russia,No bachelors,6,47184
1130,Germany,Bachelors,5,70264
1131,Other,Bachelors,16,37992
1132,Other,No bachelors,27,28248
1133,Other,Bachelors,3,16956
1134,Other,Bachelors,5,13128
1135,United States of America,Bachelors,3,100000
1136,Other,Bachelors,4,45401
1137,Germany,No bachelors,11,67452
1138,France,No bachelors,6,43239
1139,India,Bachelors,1,11724
1140,Other,Bachelors,5,64859
1141,Switzerland,No bachelors,17,106731
1142,France,No bachelors,6,50806
1143,United Kingdom,No bachelors,16,74970
1144,Netherlands,No bachelors,3,77832
1145,United Kingdom,Post-grad,10,139600
1146,United States of America,Bachelors,16,250000
1147,Canada,Bachelors,3,68068
1148,United States of America,Bachelors,10,45000
1149,United States of America,Post-grad,19,160000
1150,India,No bachelors,6,25131
1151,Italy,No bachelors,7,43239
1152,Spain,Bachelors,5,68100
1153,India,Bachelors,3,11169
1154,Other,Bachelors,6,25860
1155,United States of America,Bachelors,7,115000
1156,Italy,No bachelors,4,37834
1157,United States of America,No bachelors,5,108000
1158,Germany,Bachelors,4,54480
1159,Other,Bachelors,5,14400
1160,United States of America,Bachelors,3,100000
1161,Germany,Bachelors,5,54049
1162,United States of America,Bachelors,2,100000
1163,United Kingdom,Post-grad,3,54289
1164,United States of America,No bachelors,7,78000
1165,United Kingdom,No bachelors,17,180963
1166,France,Post-grad,27,49296
1167,United States of America,Bachelors,10,105600
1168,United States of America,No bachelors,6,54000
1169,Germany,No bachelors,2,59454
1170,United States of America,Bachelors,14,95000
1171,United States of America,No bachelors,7,180000
1172,Other,Bachelors,15,36576
1173,Spain,No bachelors,16,59454
1174,Switzerland,No bachelors,4,15852
1175,India,Bachelors,6,26527
1176,Other,No bachelors,6,43239
1177,Other,No bachelors,15,83236
1178,United States of America,Bachelors,7,190000
1179,Other,No bachelors,11,22056
1180,Other,Bachelors,4,40212
1181,Other,Bachelors,5,36228
1182,Other,Bachelors,10,21240
1183,United States of America,Bachelors,6,200000
1184,United States of America,Bachelors,21,250000
1185,Spain,No bachelors,5,15564
1186,United States of America,No bachelors,6,125000
1187,India,No bachelors,8,34904
1188,Other,No bachelors,8,27240
1189,Germany,Bachelors,22,75669
1190,Other,Bachelors,4,25392
1191,United States of America,No bachelors,6,150000
1192,Germany,Post-grad,23,91883
1193,United States of America,Bachelors,3,114000
1194,Germany,Bachelors,5,63778
1195,United States of America,Bachelors,9,90000
1196,France,No bachelors,9,49725
1197,Spain,No bachelors,6,43239
1198,Other,Bachelors,6,24000
1199,United States of America,Bachelors,4,105000
1200,United States of America,Bachelors,31,82000
1201,Other,No bachelors,5,37834
1202,United States of America,Bachelors,7,160000
1203,India,No bachelors,11,41880
1204,Sweden,No bachelors,16,63204
1205,Other,Bachelors,19,51888
1206,United States of America,No bachelors,10,120000
1207,Other,Bachelors,3,36753
1208,United States of America,No bachelors,4,40000
1209,United Kingdom,Bachelors,29,103408
1210,Canada,Bachelors,22,40085
1211,Canada,No bachelors,5,66556
1212,Other,No bachelors,10,41508
1213,Other,Post-grad,27,97288
1214,United States of America,Bachelors,4,84000
1215,Germany,Bachelors,0.5,18804
1216,Israel,No bachelors,28,105072
1217,Norway,Bachelors,6,79843
1218,United Kingdom,Bachelors,12,144771
1219,Other,No bachelors,4,42576
1220,Germany,No bachelors,10,54480
1221,France,No bachelors,2,50806
1222,United States of America,No bachelors,12,115000
1223,Canada,Bachelors,20,98321
1224,Other,Bachelors,14,86838
1225,United States of America,Bachelors,11,140000
1226,France,Bachelors,7,41077
1227,United States of America,Bachelors,10,140000
1228,France,No bachelors,4,18804
1229,United Kingdom,Bachelors,16,55582
1230,United States of America,No bachelors,37,110000
1231,Other,No bachelors,4,48644
1232,United States of America,Bachelors,3,90000
1233,Italy,No bachelors,11,54049
1234,Canada,No bachelors,2,30250
1235,Other,No bachelors,6,27144
1236,Italy,Bachelors,22,86478
1237,United States of America,Bachelors,6,86000
1238,Brazil,Bachelors,16,27492
1239,Italy,No bachelors,5,22056
1240,Other,No bachelors,6,25944
1241,Italy,No bachelors,3,25944
1242,United States of America,No bachelors,4,50000
1243,United States of America,Post-grad,5,32000
1244,Germany,Bachelors,5,33732
